	ACK-F1	ACK-F2	ACK-F3	ACK-M1	ACK-M2	ACK-M3	Cig-F1-L	Cig-F13-H	Cig-F14-H	Cig-F15-H	Cig-F2-L	Cig-F3-L	Cig-F7-M	Cig-F8-M	Cig-M1-L	Cig-M13-H	Cig-M14-H	Cig-M15-H	Cig-M2-L	Cig-M3-L	Cig-M7-M	Cig-M8-M	Cig-M9-M	EL-F1-L	EL-F13-H	EL-F14-H	EL-F15-H	EL-F3-L	EL-F6-L	EL-F7-M	EL-F8-M	EL-F9-M	EL-M1-L	EL-M13-H	EL-M14-H	EL-M15-H	EL-M2-L	EL-M3-L	EL-M7-M	EL-M8-M	EL-M9-M
Ileibacterium	2.39645029932643e-05	9.035120960245239e-06	1.7843698770169e-05	3.61316455395639e-05	1.45794069062254e-05	2.44274703682368e-05	3.18556207647118e-06	1.4806664253351901e-05	8.84817647792726e-05	1.57587452401923e-05	1.01725101319155e-06	1.5130395133934803e-05	7.84422490569994e-06	2.4512462005108102e-05	3.17596103734604e-06	2.34608933680206e-05	3.79921717508667e-06	2.6476643911891003e-06	1.05139500548786e-05	1.4169984408674802e-05	2.14962452864666e-06	6.00286302763009e-06	3.7182750677708605e-06	1.92638636171626e-05	2.04660956165123e-05	5.63791552460588e-05	3.11631292192728e-05	3.75291402661679e-06	1.84268752315159e-05	5.755480135672371e-05	3.21580767420396e-06	4.134229299372e-05	2.74354406854177e-05	2.78794947548448e-05	1.40443804653534e-05	6.85646149176054e-06	5.446442573740061e-05	2.7020286120958e-05	2.4092521209560197e-05	1.27266395209199e-05	1.7361715341739e-05
Inediibacterium	3.2607761122845903e-06	8.905912494654371e-07	1.0503568404017599e-06	1.9894995502137903e-06	1.48712290850481e-06	2.44008217351315e-06	2.0895685601358503e-06	1.63600808705239e-06	2.5115368174439203e-06	1.7738047089513599e-06	9.45459461195438e-07	5.00935539215449e-07	1.1647727267301399e-06	1.43883695849267e-06	1.5905556648522e-06	3.21289827517084e-06	7.74394970894356e-07	7.08106342529852e-07	2.3464883698060797e-06	1.20929953217045e-06	1.1633256140777901e-06	1.34366810700094e-06	1.9088520348915e-06	2.76695201534531e-06	8.140105496026401e-06	2.02793471971247e-06	1.8184488434429799e-06	8.004889726319609e-07	8.4442098852404e-07	4.284770662896e-06	3.01324823036482e-07	2.82162478563308e-06	7.2132373982632e-06	2.36656338312999e-06	6.26572752712779e-07	1.6166318903915399e-06	1.60439743549014e-06	2.11136777932677e-06	1.78623216148555e-06	6.019122360745571e-06	4.3903550491578304e-06
Intestinibacillus	1.57182879877517e-05	2.29281466184588e-05	2.1252958258082502e-05	0.000125497786210013	3.9099608697394605e-05	4.5808122568614796e-05	5.3782959060434294e-05	7.32793520661033e-05	3.38331555906086e-05	2.2933584112934198e-05	2.1055458115595e-05	1.60711316140984e-05	3.102248202448e-05	1.61292397167984e-05	2.72188340942648e-05	3.40905965037089e-05	2.17890357311506e-05	5.12288755965866e-05	3.76986638979214e-05	3.5866275555963394e-05	3.28440532970471e-05	4.03673029213204e-05	4.8435190445103006e-05	3.35898826046258e-05	2.8754383415370098e-05	2.98500403285625e-05	2.05420648926672e-05	2.8003267538073803e-05	1.5375739684543303e-05	4.26031201977372e-05	7.88008598964928e-05	3.70005268376659e-05	3.21707527821893e-05	3.84728167980617e-05	5.46208607068645e-05	3.4272374048511796e-05	2.82959845720305e-05	1.80231037405792e-05	5.19517985848221e-05	5.54949050084862e-05	2.2869686842394897e-05
Intestinibacter	1.05340253274077e-06	0.0	2.61203383144734e-07	7.030278006218821e-07	8.14943459569302e-07	7.49131149615473e-07	3.1918670121896896e-07	3.0540588631044397e-07	7.0727097764196e-07	5.282160256143311e-07	0.0	1.83365346144195e-07	6.35730156355162e-07	1.1083477971582198e-07	3.18036283503383e-07	5.885330419568309e-07	2.81694220506594e-07	0.0	8.792164022325321e-07	3.73378130299413e-07	4.27732283665573e-07	3.0630768882673e-07	2.2451804350890898e-07	1.61980442684983e-07	1.9537741360155e-06	7.662205841987841e-07	1.96063122262875e-06	2.0158332413735896e-07	2.3806995096623101e-07	9.61467985177479e-07	1.9048245173740602e-07	4.52788098925959e-07	2.58796595927285e-06	1.06855190903587e-06	9.6742286378223e-07	7.9601016152436e-07	6.48837198176159e-08	1.73297489997118e-07	5.58808388292729e-07	2.54832369484494e-07	1.23410833344897e-06
Intestinimonas	0.00017611608864184	0.000357725667164598	0.000100027280177022	0.000565173270473731	0.000462011235114233	0.000425745656633254	0.000388921015335931	0.000278745995396432	0.000154918623057183	0.000201219855410404	0.000414143698196936	0.000153561037020892	9.096838102254159e-05	0.000383629887574809	0.00041418109164712404	8.07243206478283e-05	0.000453388686762984	0.00044466961638198	0.00014770802036530702	0.000257730096736896	0.000515640878025437	0.00034450531733633	0.000416312178375127	0.000404063833442829	0.000356322191095198	0.000216642877058428	0.000142972541162529	0.00066910425712924	0.000175218150863434	0.000221974218293297	0.000240374115022012	0.000537918817091637	0.000421479801382964	0.000182135623355783	0.00040150991833095	0.000195260920253285	0.000403354241067198	0.000854438331047959	0.000382666568669897	0.000707124081314971	0.00044874044419468303
Jeotgalicoccus	4.366768693830269e-06	2.12520826739892e-05	6.44187249261691e-06	4.324921026659739e-06	5.4683297636369e-05	1.64528020010748e-05	0.000127667834823069	7.24336152057016e-06	2.63984707524739e-06	1.25251461819517e-05	1.10301994304985e-06	1.6943807831055e-06	8.34978103731951e-06	1.43468040564758e-06	2.53100660077696e-06	3.76975616636382e-05	9.74998112666916e-07	2.6347566644624902e-06	2.4853843365278896e-05	5.82249172158214e-06	1.09523021298112e-06	2.97323362944459e-06	2.15201415279032e-06	5.904207644146071e-07	0.000113074946933013	4.49654691461196e-06	2.57287024596981e-05	6.88629044859151e-06	1.1218719101810699e-05	1.01156058366688e-05	2.65937468695857e-06	2.8691982375297e-05	1.50873558194918e-05	2.9345220732627696e-05	0.000156028353570816	1.9708841936265e-05	7.48691445346709e-07	5.92770988379407e-06	8.371308325227381e-06	2.90957032642991e-06	2.25294711151894e-05
Johnsonella	3.69074134075045e-06	9.575056991021481e-07	3.67667951149215e-07	1.16307617144476e-05	2.82053032712393e-06	2.6373145627669102e-06	6.6822050389455005e-06	9.491091160179449e-07	6.68000139075876e-07	2.30669851251086e-06	5.0212266969705e-07	9.449715700015409e-07	6.37393777115363e-06	4.31680130025645e-06	3.83243769865551e-07	1.03212192684707e-06	1.84779162940621e-06	1.4603465105519501e-06	6.47720418314226e-07	3.25214873931281e-06	4.26552725161857e-06	1.17535159056403e-06	2.24588435282119e-06	2.24793661289451e-06	1.97289598126744e-06	8.784559506143389e-06	5.76359233757635e-06	3.1816208503953397e-07	4.68851210623211e-07	2.91911197082509e-06	7.23268229207379e-07	4.917205893569239e-06	5.56458499345809e-06	3.8767149772553805e-06	4.46109274950314e-06	2.84006219112729e-06	1.8161667223107498e-06	6.693441134437091e-06	1.16079301368603e-06	7.915809614641071e-07	2.69492578409306e-06
Jonquetella	0.0	1.75221993965069e-07	0.0	4.03460045934342e-07	2.04991879618458e-07	3.97363394776189e-08	3.9117432848681504e-07	1.63521922170911e-07	6.54676134617079e-08	1.8714439834664303e-07	1.0993990579321e-07	0.0	0.0	9.916796079836731e-08	3.95820255405137e-07	5.16694167059638e-07	2.9636641651261e-07	7.87978732203174e-08	1.07953403052371e-07	2.7374474674667397e-07	3.88363634441752e-08	2.2428450951457302e-08	2.3525626800890498e-07	8.35710933427833e-08	7.857051571084579e-07	3.312513048205359e-08	2.0226718388922e-08	1.0021295939626199e-07	1.04416645160628e-07	7.67005123172407e-08	1.4597067448343197e-07	1.94311374775823e-07	1.21085120512993e-07	2.2157003943207002e-07	8.89464191025193e-07	1.5575104222132798e-07	1.3023209157014e-07	1.72349957494361e-07	2.83357010400292e-07	2.61561423218264e-08	2.70215016585437e-07
Kandleria	3.3633009092019e-06	6.14390694378454e-07	7.63877415339995e-07	1.46958979578635e-06	2.1737528459860202e-07	1.10026250906516e-07	1.3070163178600901e-06	8.238089861035651e-07	3.06606894665099e-06	9.63123395822002e-07	3.46155747337437e-08	6.17185769331417e-07	3.68120699770126e-07	3.47876621588062e-07	9.34610321211874e-07	4.56618904014266e-07	6.38964288951713e-07	2.40114097940725e-07	3.89003762076597e-07	9.610011984045549e-07	5.20761717896185e-07	9.82415785944412e-07	1.21445232969956e-06	8.342332621143941e-07	1.2735926803869601e-06	4.87486404759677e-06	1.21026571604405e-06	1.02443540656784e-06	2.06238192698602e-06	2.32258515266916e-06	8.05418085846629e-07	6.3637118707459995e-06	1.4953319919331002e-06	2.21389833231014e-06	5.6871626961733697e-08	7.523592196375641e-07	5.36109219621844e-07	5.72675828764769e-07	7.81932494042237e-07	4.8019077092555e-07	9.246067016795109e-07
Kingella	0.0	2.20591748769487e-07	0.0	0.0	0.0	2.91318454393659e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.61992573665694e-07	0.0	2.25499594268476e-07	2.79506486023175e-07	0.0	0.0	0.0	2.95395278077755e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.77268529112608e-07	6.32136823133719e-07	0.0
Klebsiella	7.274809039797441e-08	0.0	0.0	2.5919972924888997e-08	4.7082715428955095e-07	9.12516330980977e-08	0.0	8.24251836025315e-07	0.0	0.0	0.0	0.0	0.0	0.0	7.53620938250747e-08	0.0	0.0	1.05693749061978e-07	0.0	0.0	8.91849031506363e-08	1.3754416091814197e-07	1.58029510192661e-07	5.8826462528858e-07	0.0	2.2565450516837398e-06	5.08033682237454e-08	0.0	0.0	1.38861641805114e-07	2.0268578694602098e-08	6.40586949810405e-08	3.28064253247868e-07	8.914203662132731e-08	4.0394800458801505e-08	6.04772465361125e-07	1.0031306399653798e-06	2.51703640638932e-06	0.0	1.55185777611656e-07	1.7958926295652101e-07
Kocuria	1.08210265001356e-06	3.42030052931697e-07	0.0	6.76448073893445e-08	2.486071731543e-07	7.98361210846063e-08	5.850078846308229e-07	2.05414001060681e-06	1.4845603562856002e-06	1.02615363118216e-06	2.20213975433816e-07	1.3286562860562199e-07	9.81197033441233e-07	0.0	9.16375732128392e-08	8.20200238077955e-07	2.85015924979075e-07	1.58316458695699e-07	1.04293965660765e-07	2.22625329028265e-07	5.16847153459733e-07	3.1447551440447605e-07	0.0	0.0	1.93816801376497e-06	2.0436859151644797e-06	7.216729909787159e-07	6.71141669127406e-08	2.0175419573409398e-07	3.38242045856215e-07	5.25301916200383e-07	1.32034761178074e-06	2.50382339150012e-07	1.99664111691856e-06	1.83925261663479e-07	6.72733426806567e-07	0.0	0.0	1.14365066126653e-06	1.0510303530538801e-07	1.51658849752758e-06
Kosakonia	1.03844332960246e-07	0.0	5.04928472993537e-08	1.5534323880332198e-07	0.0	0.0	8.57072646178794e-08	8.90448353752047e-08	1.26891639033134e-07	8.20655832515556e-08	4.0588458217213195e-08	9.79558359915958e-08	0.0	0.0	0.0	0.0	0.0	0.0	1.93046085458358e-07	0.0	0.0	1.1592430727066901e-07	5.639484481385139e-08	0.0	0.0	0.0	2.09088743816464e-07	1.29490863219876e-07	0.0	2.47772733416969e-07	2.1556229576376801e-07	0.0	1.38446705177065e-07	1.2724588756926698e-07	0.0	0.0	0.0	4.5539305044302804e-08	0.0	0.0	0.0
Lachnoanaerobaculum	7.850151001066991e-06	7.13006970239257e-06	4.91462359650089e-06	1.66295995876933e-05	4.18336918180192e-06	9.70474970358437e-06	1.43640137143264e-05	1.21121873891275e-05	7.9792740699979e-06	7.80199050472567e-06	1.15457750333876e-05	7.164756809746539e-06	5.93845070987226e-06	6.1465892338573e-06	5.7787924714341204e-06	8.02974878654031e-06	7.736797869010581e-06	9.75856361312221e-06	7.1549982334989e-06	9.05557902130016e-06	4.63041015842269e-06	9.12387541170583e-06	5.86246746154788e-06	7.46776640286541e-06	8.78255731893507e-06	2.2475985074202e-05	4.93661234172365e-06	4.27988521356858e-06	4.76639493856012e-06	1.38343647234975e-05	9.239438539366119e-06	1.5356041924206e-05	1.16507512474286e-05	1.6432302882615196e-05	1.63157363636338e-05	1.2118340156019901e-05	4.779037034252941e-06	7.35064807164388e-06	2.1342667352300896e-05	4.84302224465463e-06	9.59924907160413e-06
