GeneID	AS	Gout	OB	RA	T2D
10002075	0	0	1	1	1
10002076	1	0	1	1	1
10002080	1	1	1	1	1
10002089	0	1	0	0	0
1000209	1	1	1	1	1
10002104	0	0	0	1	0
10002110	1	0	1	1	1
10002119	1	0	1	1	1
10002125	1	1	1	1	1
1000213	1	1	1	1	1
10002130	1	1	1	0	1
10002155	0	0	0	1	0
10002159	0	0	1	1	0
10002160	1	0	0	0	0
10002169	1	1	1	1	0
1000217	0	0	0	1	0
10002171	1	1	1	1	1
10002180	0	0	0	1	0
1000219	1	1	0	1	0
10002194	1	1	1	1	1
10002196	0	0	0	1	0
1000220	1	1	1	1	1
1000221	1	1	1	1	1
1000222	1	1	1	1	1
1000223	1	1	0	0	1
1000225	0	0	0	1	0
10002250	1	0	1	1	1
1000227	0	0	0	1	0
10002278	0	0	0	1	0
10002280	1	1	1	1	1
10002298	1	1	1	1	1
10002305	1	0	1	1	1
10002311	1	1	1	1	1
10002320	0	0	0	1	0
10002321	0	0	0	1	0
10002329	1	0	1	1	0
10002352	0	0	0	1	0
10002381	0	1	0	0	0
10002384	0	0	0	1	0
10002389	1	0	1	1	0
10002392	0	0	1	1	0
10002396	1	0	1	1	1
10002406	1	1	1	1	1
10002411	1	1	1	1	1
10002413	0	1	1	1	1
10002417	0	0	1	0	1
1000242	0	0	1	0	0
10002424	0	0	0	1	0
10002425	0	1	1	1	1
10002429	1	0	1	1	0
10002437	1	1	1	1	1
10002453	1	0	1	1	1
10002467	1	1	1	1	1
1000247	0	0	0	1	0
10002476	1	1	1	1	1
10002478	1	1	1	1	0
1000248	0	1	0	1	0
10002481	1	1	1	1	1
10002492	1	0	1	1	1
10002497	1	1	1	1	1
1000250	1	1	1	1	1
10002512	1	1	1	1	1
10002515	0	0	1	1	0
10002518	1	1	1	1	1
10002519	0	0	0	1	0
10002521	1	0	1	1	1
10002525	1	1	1	1	1
10002532	1	1	1	1	1
10002536	1	1	1	1	1
10002537	0	0	1	0	0
10002546	0	0	0	1	0
1000255	1	1	1	1	1
10002554	0	0	1	1	0
10002557	0	0	1	1	0
1000256	1	1	1	1	1
10002560	0	0	1	0	1
10002561	1	1	1	1	1
10002564	0	0	1	1	0
10002569	0	0	0	1	0
1000258	0	0	1	1	0
10002580	1	0	1	1	1
10002582	1	1	1	1	1
10002584	1	0	1	1	1
10002585	0	0	0	1	0
10002592	1	1	1	1	1
1000261	1	1	1	0	1
10002627	0	0	0	1	0
10002630	0	0	1	1	0
10002632	1	1	1	1	1
1000264	0	0	1	1	0
10002643	1	0	1	1	1
10002651	1	1	1	1	1
10002656	0	0	0	1	0
10002659	1	1	1	1	1
1000267	1	1	1	1	1
1000268	1	1	1	1	1
1000269	1	1	1	1	1
10002695	0	0	1	1	0
10002701	1	1	1	1	1
10002702	0	0	1	1	0
10002703	0	0	1	1	1
10002709	1	1	1	1	1
1000271	1	1	1	1	1
10002712	0	0	0	1	0
1000272	1	1	1	1	0
10002721	0	0	0	1	0
10002726	0	0	1	1	0
10002728	1	1	1	1	1
1000274	1	1	1	1	1
10002742	1	1	1	1	1
10002756	0	0	0	1	0
10002759	1	1	1	1	1
10002764	0	0	0	1	0
10002766	0	0	0	1	0
10002767	0	0	0	1	0
10002771	0	1	0	1	0
10002776	0	0	1	1	1
10002780	0	0	0	1	0
10002789	0	0	0	1	0
10002792	1	1	1	1	1
10002795	0	0	1	0	0
10002796	1	0	1	1	1
10002798	0	0	0	1	0
10002804	1	0	1	1	1
