	ACK-F1	ACK-F2	ACK-F3	ACK-M1	ACK-M2	ACK-M3	Cig-F1-L	Cig-F13-H	Cig-F14-H	Cig-F15-H	Cig-F2-L	Cig-F3-L	Cig-F7-M	Cig-F8-M	Cig-M1-L	Cig-M13-H	Cig-M14-H	Cig-M15-H	Cig-M2-L	Cig-M3-L	Cig-M7-M	Cig-M8-M	Cig-M9-M	EL-F1-L	EL-F13-H	EL-F14-H	EL-F15-H	EL-F3-L	EL-F6-L	EL-F7-M	EL-F8-M	EL-F9-M	EL-M1-L	EL-M13-H	EL-M14-H	EL-M15-H	EL-M2-L	EL-M3-L	EL-M7-M	EL-M8-M	EL-M9-M
Cig-M15-H	0.7606468217926381	0.7076805522920745	0.8588793736998733	0.7059936174368391	0.6027203356457209	0.6459460667210579	0.7045742949272717	0.736564900968176	0.7493684757268878	0.8476936768399624	0.7534765762952411	0.7429897526657198	0.8797424402531664	0.7340602258068494	0.6611310657449234	0.8243923226445566	0.5126532059864883	0.0	0.8287658027293638	0.5866988580046434	0.5795302131840938	0.6537451491544825	0.5599617307689866	0.6473231814768583	0.8421574897242424	0.8427868348121869	0.8596458408143905	0.7689549623685978	0.8331589459150179	0.824589639371941	0.6961016610403824	0.7867278231078509	0.7314900624572274	0.8716837290283423	0.6662906082140254	0.7312683709842843	0.5859352392036518	0.6686802221063157	0.7276298961044764	0.6508236573466886	0.6223766935870849
Cig-M2-L	0.7981733486391643	0.8424248217686012	0.8083539715536965	0.7530508160996723	0.8114371589328169	0.7879001226898014	0.8137223380664398	0.8341850955879492	0.7873434298633546	0.8134235873039515	0.8243007159659383	0.8193738533330802	0.840434538180135	0.8348430362866436	0.8759184070751798	0.7514358762950375	0.8670288381791361	0.8287658027293638	0.0	0.8137036514804167	0.8521276523155419	0.8552472864999604	0.8018708074896354	0.8691749346430949	0.7922680404705449	0.8081058854699181	0.7977560226369791	0.8336538144074238	0.8231530256719025	0.7902938371600509	0.8393173641374875	0.8219439228252404	0.7208646672038553	0.8030725905447919	0.7583983758444599	0.769396609797981	0.8496819571270694	0.8725527005217123	0.7048792754792854	0.8496419469339718	0.7496160965508436
Cig-M3-L	0.7462575229605746	0.7036492100634888	0.8707474673972116	0.703704734353521	0.655093077562962	0.5918480407505585	0.7035781704974298	0.7101018361341873	0.7333384244675296	0.8511919027214122	0.8177172266698011	0.7642459102843571	0.8598291167104347	0.7571567891215597	0.6643807215178744	0.8259477312439342	0.5515449606647135	0.5866988580046434	0.8137036514804167	0.0	0.5413991846980949	0.6307784081770412	0.5936314246938996	0.5651618485172125	0.8363752735330254	0.8324637815084026	0.8555031330343302	0.8050213703965835	0.8509673126670024	0.8157588895302113	0.6638196363106059	0.7889216213790201	0.7226000486398172	0.8439265359611956	0.703994954192134	0.7309366566088855	0.5612944830819896	0.6288579224234755	0.7431800745122691	0.6683128593872857	0.6439139965264918
Cig-M7-M	0.7809322380465211	0.6912302797810137	0.8751919557010874	0.682894337152807	0.6478296382968863	0.546709030803483	0.6858175198312738	0.7132606599585862	0.7997897334747847	0.8536701611805532	0.7757759796728657	0.7517833296836559	0.8923684184478063	0.7521505401105391	0.6730706560708871	0.8684839160091768	0.5495126114498391	0.5795302131840938	0.8521276523155419	0.5413991846980949	0.0	0.5915932768043568	0.5384314291985972	0.5838281162348221	0.8506843670092169	0.8596654324779965	0.897629837259351	0.7689463255324561	0.8546697416713678	0.8618996971011286	0.65967956394462	0.8056959933858121	0.7621026732917765	0.9037344507095391	0.6797292755383171	0.7435760921839255	0.5871213263902232	0.6249002048345503	0.7590694330269963	0.6557018917808403	0.6651607442561156
Cig-M8-M	0.8169162295491796	0.7718066894898381	0.8689190169269905	0.7225464099544182	0.6750700297418419	0.6016591679212692	0.7387055675071075	0.7284548250592596	0.8144962800955445	0.8327226365190853	0.8136398501269463	0.8020874398964267	0.8495234640633794	0.798674578859017	0.7562832918908597	0.8277103225398945	0.6419881658312037	0.6537451491544825	0.8552472864999604	0.6307784081770412	0.5915932768043568	0.0	0.6432924226213982	0.661181255399412	0.8258073927872678	0.8436143754455562	0.8603226226771382	0.8006994791265257	0.846190735697317	0.8236617891773409	0.7326492864225752	0.7948648390733715	0.7675952296057181	0.8477529574982683	0.7273663571609945	0.7307244287085054	0.7065265276862867	0.6937152155745633	0.7553982457832001	0.6879430283725758	0.7164520676133104
Cig-M9-M	0.774746226007602	0.6842814474756236	0.8838567886583314	0.6800485574268845	0.6583214984293939	0.6133922756850182	0.7204958159787131	0.7542562731396754	0.7410773516538668	0.8595016498892828	0.7854038505137142	0.7508761578706028	0.8869621300393227	0.7601220461039461	0.6706934171358591	0.8328502480608148	0.5419693923372279	0.5599617307689866	0.8018708074896354	0.5936314246938996	0.5384314291985972	0.6432924226213982	0.0	0.6579079154656232	0.8522182463466812	0.8567301152537394	0.8811523691636629	0.7897181004242514	0.8384436582942029	0.8487050234440707	0.6944956973965787	0.8121290504684439	0.7691764854142196	0.8809079598384962	0.6827152555239123	0.7336480537066791	0.5674051299945673	0.6561544303846845	0.7363688575388213	0.6915943421270924	0.6134740552059635
EL-F1-L	0.7367996041544842	0.6708121067498455	0.8076332117028596	0.698225378204223	0.6842120788344821	0.5882555270560371	0.6959812673667594	0.6628544796899055	0.7516297328420011	0.8099994347533702	0.8208766682257165	0.7393508562276371	0.8561318432071994	0.7171281344574553	0.716728888990058	0.8634353499166454	0.6223804894739352	0.6473231814768583	0.8691749346430949	0.5651618485172125	0.5838281162348221	0.661181255399412	0.6579079154656232	0.0	0.8153450283946588	0.7792418907885655	0.8661124419298422	0.7545189949601109	0.8304298451618897	0.8095629688444879	0.6854495597881852	0.7631164376798888	0.7283748217364641	0.8781694860237578	0.6683616542551913	0.7475203585807579	0.6249219059225922	0.6519007607359769	0.7704462859905259	0.6948841538013333	0.6992663412776844
EL-F13-H	0.7286213486566718	0.7885033104389859	0.7701198992547804	0.7958342230617989	0.7646099504157438	0.8216667311801666	0.7651198090936275	0.8011955533539802	0.7559632892406327	0.7345212653019217	0.7884498192972702	0.7821210849275418	0.7968750395543991	0.811097503024821	0.8638617804239125	0.803406071778543	0.8514352078758055	0.8421574897242424	0.7922680404705449	0.8363752735330254	0.8506843670092169	0.8258073927872678	0.8522182463466812	0.8153450283946588	0.0	0.7766034757801906	0.7481607807178107	0.7681606237831138	0.7575372801552395	0.7716824273951364	0.8365802986875579	0.7955605055624837	0.7125968196570633	0.8009451526934862	0.8074255690380993	0.8188420624141345	0.8834659412808066	0.8523832039579292	0.7927674245844504	0.7829318941995531	0.7603151380243333
EL-F14-H	0.7257145202290689	0.8215661197862718	0.8184942129054708	0.8012539767780223	0.7703970487875091	0.78937096184032	0.7556317412657142	0.8096844624810896	0.7806288085454414	0.8095469172184009	0.8049825987322742	0.8015987353885092	0.8403935718080289	0.7729876253923029	0.8387702688090751	0.8067353268080669	0.8642820229429491	0.8427868348121869	0.8081058854699181	0.8324637815084026	0.8596654324779965	0.8436143754455562	0.8567301152537394	0.7792418907885655	0.7766034757801906	0.0	0.7768796406184523	0.7989687630778258	0.802133899817502	0.7254351241664072	0.8005274101838532	0.7801954411107708	0.7457845436007675	0.8023669490644594	0.8193211385073276	0.8024530374573938	0.8486615956366361	0.8482403098705038	0.7590505376786307	0.8328364203903541	0.7882766704053947
EL-F15-H	0.7020945880525776	0.8304600409293811	0.7676482572101009	0.8032380468833444	0.7998720673575416	0.8399619477365311	0.7728825197843449	0.7916981441226553	0.6795988144916504	0.7380821721031412	0.8174752260705539	0.7613332993668175	0.7103883240900136	0.8365151505489216	0.878820366929989	0.7675091831559575	0.885699198589275	0.8596458408143905	0.7977560226369791	0.8555031330343302	0.897629837259351	0.8603226226771382	0.8811523691636629	0.8661124419298422	0.7481607807178107	0.7768796406184523	0.0	0.796163882381232	0.7392429663586417	0.7101412837411907	0.842948700490687	0.8109690401101842	0.7322596639143499	0.7209026240054448	0.8387708481202628	0.7921146012525618	0.9033808575164656	0.8966822111788323	0.7859897672242641	0.8564658741325513	0.8141677015366455
