individual	tax	abundance	group
YC4	Otu34	0.0	y
R1M1	Otu34	0.0	r
R2M1	Otu34	0.0	r
Y1M1	Otu34	0.0	y
Y2M1	Otu34	0.0	y
RC5	Otu34	0.0	r
RC6	Otu34	9.175995595522114e-05	r
RC7	Otu34	7.736345350456444e-05	r
YC5	Otu34	0.0	y
YC6	Otu34	0.0	y
YC7	Otu34	0.0	y
R3M2	Otu34	0.0006172839506172839	r
R4M2	Otu34	0.0	r
Y3M2	Otu34	5.7200602513013136e-05	y
Y4M2	Otu34	0.0	y
RC1	Otu34	0.0	r
RC2	Otu34	0.00018828845791752966	r
RC3	Otu34	0.0	r
YQ1	Otu34	0.00011450490939799044	y
RQ1	Otu34	0.0003607828988905926	r
Y0J1	Otu34	0.008936325821639165	yj
R0J1	Otu34	0.0029303305676280783	rj
Y0J2	Otu34	0.0038264738598442712	yj
R0J2	Otu34	0.001367009503970837	rj
YQ2	Otu34	0.00010223642172523961	y
RQ2	Otu34	0.0008143813717801774	r
YQ3	Otu34	0.00024964425693386924	y
RQ3	Otu34	0.0007157730348776679	r
Y0J3	Otu34	0.0005210368633580826	yj
R0J3	Otu34	0.0016527487821851078	rj
Y7J1	Otu34	0.013098523678100495	yj
R7J1	Otu34	0.02977091102823655	rj
RGR1	Otu30	0.0	r
RGO1	Otu30	3.180256964762753e-05	r
RYE2	Otu30	0.00046313954121941916	r
RWH2	Otu30	0.0	r
RYE1	Otu30	0.0	r
RBL2	Otu30	5.243838489774515e-05	r
RGR2	Otu30	0.0	r
RGO2	Otu30	0.0	r
YYE1	Otu30	0.0001190405333015892	y
YWH1	Otu30	0.008260982896557256	y
RWH1	Otu30	0.0	r
YBL1	Otu30	0.0014107214832728737	y
YGR1	Otu30	0.00034782608695652176	y
YGO1	Otu30	0.002731109823719275	y
YYE2	Otu30	0.00032277942427888143	y
YWH2	Otu30	0.013575513795487399	y
YBL2	Otu30	0.00012142701022415426	y
YGR2	Otu30	0.0011534025374855825	y
YGO2	Otu30	0.0007778166686112084	y
RBL1	Otu30	0.0	r
E28	Otu30	0.0	zzs
E29	Otu30	0.0	zzd
RC4	Otu30	0.00012655290966231465	r
YC1	Otu30	0.0	y
YC2	Otu30	0.0	y
YC3	Otu30	0.0	y
YC4	Otu30	0.0	y
R1M1	Otu30	0.0	r
R2M1	Otu30	0.0	r
Y1M1	Otu30	0.0	y
Y2M1	Otu30	0.0	y
RC5	Otu30	0.00036703982382088455	r
RC6	Otu30	9.175995595522114e-05	r
RC7	Otu30	0.00069627108154108	r
YC5	Otu30	0.0	y
YC6	Otu30	0.0	y
YC7	Otu30	0.0	y
R3M2	Otu30	0.00048010973936899864	r
R4M2	Otu30	0.000474158368895211	r
