	ACK-F1	ACK-F2	ACK-F3	ACK-M1	ACK-M2	ACK-M3	Cig-F1-L	Cig-F13-H	Cig-F14-H	Cig-F15-H	Cig-F2-L	Cig-F3-L	Cig-F7-M	Cig-F8-M	Cig-M1-L	Cig-M13-H	Cig-M14-H	Cig-M15-H	Cig-M2-L	Cig-M3-L	Cig-M7-M	Cig-M8-M	Cig-M9-M	EL-F1-L	EL-F13-H	EL-F14-H	EL-F15-H	EL-F3-L	EL-F6-L	EL-F7-M	EL-F8-M	EL-F9-M	EL-M1-L	EL-M13-H	EL-M14-H	EL-M15-H	EL-M2-L	EL-M3-L	EL-M7-M	EL-M8-M	EL-M9-M
Candidatus Uhrbacteria	1.3579834760802798e-06	1.53461075795626e-06	8.31119812178341e-08	1.00969445182358e-06	1.50955888581217e-06	1.09733735905121e-06	1.06160679143861e-07	6.06396033001024e-07	8.027831498984421e-07	9.74702401384486e-07	1.48685792653663e-06	8.552160970568279e-07	2.41582491469955e-07	4.95513908186418e-06	2.1844916442656602e-07	4.12151375536645e-07	4.7539193697339996e-06	6.2834997343415e-06	5.698395574297689e-07	1.32916351968349e-06	7.1025373249125e-06	3.5601677985088996e-06	3.5914597091912597e-06	3.32678282885456e-06	4.4686121765503206e-07	7.47584280399771e-08	7.417680068200609e-07	7.86117591375726e-07	3.3766655503207e-07	2.01230492225459e-07	2.43865088420251e-06	1.9761845919500502e-07	1.0518755504534401e-06	5.4625759815089497e-08	1.41735355614041e-06	2.13842911041349e-06	7.9303486189596e-06	2.57211277755298e-06	0.0	2.69444666738478e-06	1.25721682419208e-06
Candidatus Vogelbacteria	2.41273936203372e-06	1.1804849691988702e-06	4.4892972654289494e-06	5.11304747759506e-07	1.60905164537362e-06	1.2288051156532302e-07	8.50877968246436e-07	3.04091783302555e-07	1.10226722988786e-06	3.5314916700291703e-07	1.8124505721954601e-06	2.2793559044912603e-06	0.0	1.5595321858446899e-06	6.300420155858629e-07	9.42876984457291e-06	0.0	0.0	9.15062749235553e-07	2.56912494398922e-07	0.0	9.545417487501141e-07	0.0	4.80599698689371e-07	2.50616885429817e-06	1.72555580155676e-06	2.75926338091398e-07	2.82068811362718e-06	1.1633833893019301e-06	8.76488805675656e-07	8.430733960086009e-08	3.5722344651442103e-07	9.358840374305441e-07	1.17484089621094e-06	2.2617312116412898e-07	1.41685631114094e-07	0.0	2.6644684184510196e-07	0.0	3.7769973925648603e-07	8.109475055737691e-07
Candidatus Wildermuthbacteria	0.0	0.0	6.173269344475779e-07	0.0	8.003107628939809e-08	0.0	0.0	0.0	7.38752693001122e-08	0.0	1.06336200466329e-06	0.0	8.77568492741886e-08	1.54865034671423e-07	0.0	4.03446130443827e-07	0.0	8.89174631030636e-08	0.0	0.0	0.0	1.0123526833568699e-07	0.0	0.0	1.8289696322635102e-07	0.0	9.129731108424381e-08	1.8847129064536801e-06	8.15308051254217e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6280344607841498e-07
Candidatus Wirthbacteria	0.0	0.0	0.0	0.0	4.18800614274269e-08	0.0	0.0	0.0	7.731748614922139e-08	0.0	0.0	8.95295275192004e-08	0.0	4.05202420466447e-08	0.0	4.95817635057228e-08	0.0	0.0	0.0	0.0	0.0	5.2976161924768297e-08	0.0	0.0	3.8461533238447706e-07	0.0	0.0	3.9450621411073304e-08	0.0	0.0	0.0	8.76592668161607e-08	8.84809769928613e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Woesebacteria	1.90505790682465e-07	9.809919807774462e-08	5.90437380226927e-07	2.54270973786093e-07	1.8846027642342103e-07	4.8693115817225194e-08	8.6892160529987e-07	1.32014145469053e-07	4.55737851900547e-07	4.312419166406839e-07	4.6928322735534603e-07	2.13957254654455e-07	1.48093754735994e-06	3.25826833398677e-07	3.12389764585823e-07	1.66318389098113e-06	0.0	2.1636582688412102e-07	6.47720418314226e-07	2.3337359392763e-07	0.0	0.0	1.51027779389712e-07	0.0	9.407826208097549e-07	6.527796630405299e-08	3.0710389102871397e-06	8.753698609717221e-07	3.95771051524914e-07	2.1487267804202198e-07	0.0	8.13396452549956e-08	5.47347439072119e-08	0.0	4.79327615494923e-07	2.65020061857946e-07	0.0	0.0	0.0	2.87281629834726e-07	2.74010318990285e-07
Candidatus Wolfebacteria	0.0	0.0	0.0	6.0292110933981e-08	0.0	0.0	0.0	8.409790007658219e-08	0.0	5.68660970900725e-08	0.0	0.0	0.0	0.0	0.0	1.0907987971259e-07	0.0	0.0	0.0	0.0	0.0	4.01639923288325e-07	0.0	0.0	0.0	0.0	0.0	5.98191487700514e-08	0.0	6.867613806665981e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Woykebacteria	0.0	0.0	0.0	0.0	0.0	0.0	1.38325015680755e-07	0.0	1.3652897870653699e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.1073039658434403e-07	2.1884777970084895e-07	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Yanofskybacteria	0.0	2.18246029554675e-07	0.0	6.863965301846989e-07	2.1446459503814898e-07	1.2729425972934401e-06	4.1474872865961105e-07	6.64119214845846e-07	7.93072743957087e-08	1.182300775658e-07	5.3792705977247e-07	3.77322328970648e-08	0.0	5.675190816704479e-07	1.9213704940058802e-07	0.0	2.18525025608462e-07	2.82216295935811e-07	0.0	1.1273131232097399e-07	4.25292535819609e-07	7.51335749967115e-07	1.03338404369607e-07	3.31767171764423e-07	1.60861184524381e-07	0.0	3.11210043188126e-07	6.21848778174546e-08	0.0	7.13921435269232e-08	3.41953959646443e-07	6.58682626358721e-08	6.648570587599191e-08	0.0	2.44194556445862e-07	1.5027961933555799e-06	3.0733443094814e-07	5.16658852780173e-07	2.3577306799721303e-07	9.738360333380561e-08	4.3084659623671104e-07
Candidatus Yonathbacteria	0.0	2.53442820183778e-07	2.0869914495021303e-06	0.0	0.0	5.05526017678588e-07	0.0	8.766962556246019e-08	1.68898349207564e-06	0.0	0.0	0.0	0.0	3.10580976126755e-08	0.0	0.0	0.0	0.0	0.0	0.0	1.18394092790018e-07	1.71200955718267e-07	0.0	0.0	0.0	0.0	3.66192511491747e-08	0.0	0.0	0.0	1.13259035892364e-07	6.40586949810405e-08	4.5436177374712597e-08	0.0	0.0	1.13226626391456e-07	0.0	0.0	0.0	9.470822961584391e-08	0.0
Candidatus Zambryskibacteria	0.0	1.33700270357819e-07	0.0	9.994367938605849e-08	0.0	0.0	0.0	1.53421844734305e-07	0.0	3.2992582455861895e-07	0.0	0.0	5.7713963937079e-08	0.0	0.0	0.0	0.0	0.0	1.6630659389149102e-07	0.0	0.0	0.0	0.0	1.86058616597615e-07	6.01417942140705e-08	9.83309053498799e-08	6.00423757581063e-08	0.0	1.07238716651456e-07	0.0	1.23802669864326e-07	0.0	3.18053241622988e-07	0.0	2.33634791842798e-07	1.32097730790032e-07	0.0	0.0	2.2940082291620697e-07	7.76436837391153e-08	0.0
Chlamydiae	0.000770547014592316	0.000281598718753167	0.0013359446840973401	0.000140575959931648	0.000224297753397345	0.000225806600055718	0.000286847003003269	0.00047542700739277996	0.00159795095790422	0.00145459124906645	0.000706945805580871	0.000378266483918763	0.000538417911881169	0.00065127550118227	0.00016347793121218	0.00143257821674574	0.000335760639632138	0.00038391750628288	0.00143324067810908	0.000149707361655299	0.000117970277630491	0.000265734565450565	0.000185012981553835	0.000166011582452259	0.000782200533158367	0.000197022796190559	0.00171178203753159	0.00115962091193435	0.0008395553410188361	0.000563331063009467	0.000277825830961523	0.000483386471540612	0.000383288985795465	0.000702497909484951	0.00029177211018164	0.00034703593217671	0.00010661520436966801	0.00022897768032457402	0.00147195023154239	0.000204787987022992	0.000334155732121996
Chlorobi	3.23325843358746e-06	2.0003091873538003e-06	2.30273083459208e-06	3.8963544378579e-06	5.98162989491039e-06	4.5203177137567705e-06	3.0543565433341303e-06	6.7278300274727206e-06	1.46324272491817e-06	1.0630454297625e-06	4.66054791409021e-06	6.23602711950128e-06	2.26501032342039e-06	6.32365129633792e-06	3.85350541484418e-06	3.7127894598350303e-06	4.82975626436565e-06	8.0470225235985e-06	1.7285121273421601e-06	4.6531556609775e-06	6.54130452493475e-06	3.7518484758407602e-06	2.95588404747074e-06	6.25218282757187e-06	2.72299691172145e-06	1.5275098369028299e-06	5.7998713351391e-07	4.69488773665669e-06	3.0497614611582802e-06	2.06760608940955e-06	1.1446879229508801e-05	4.71747404689619e-06	4.8788640933656e-06	4.74881993048562e-06	6.41120379623269e-06	6.93689873759978e-06	7.03500003664758e-06	6.24368998041726e-06	6.3007790826234595e-06	5.68621846878131e-06	2.8826730582367803e-06
Chloroflexi	5.751840035413559e-05	6.32138805529974e-05	7.05181165884829e-05	0.000125577784446751	6.877598355701801e-05	6.73863144673634e-05	7.13219691300468e-05	7.670650007877091e-05	4.77210409434811e-05	3.44629928755706e-05	3.754870102981239e-05	8.18381215099203e-05	5.90519968935208e-05	6.60426603854359e-05	5.01460731663024e-05	4.30065049591544e-05	5.8552766288005005e-05	7.558278781105171e-05	7.850683469140308e-05	6.19721791658348e-05	6.53834119610916e-05	5.9098289999828e-05	5.46093659862083e-05	7.79101528110201e-05	7.71892699007475e-05	8.15718111434812e-05	4.00311729028101e-05	8.314893456585e-05	3.60660557704466e-05	6.765442712288261e-05	4.3985760415413396e-05	8.44033669212074e-05	0.00011503915024940701	5.8979963852234997e-05	0.000145557195165122	7.56063048237058e-05	4.1102057293898e-05	5.12123331325108e-05	0.000119435658690999	8.156125803063392e-05	8.1009667839105e-05
Chrysiogenetes	2.50092365898879e-06	4.58164548625916e-06	9.65056110361584e-07	1.34431516601035e-05	6.66609089683044e-06	2.20261534074776e-06	8.07226715531405e-06	4.61535887903713e-06	2.80639241410278e-07	1.1315406818317e-06	2.6508877889999297e-06	1.8189388758292998e-06	3.2474299050293e-07	3.0210996627671904e-06	2.02906889460294e-06	1.1780627008959699e-07	1.06012087288484e-06	1.68661302818878e-06	8.010150482644879e-07	2.14778913724941e-06	3.7674998270618697e-06	5.37958085076967e-06	2.63745343681675e-06	1.0029017707122801e-05	1.72171912429585e-06	4.6104401434246104e-07	8.76934698572342e-08	5.34221213564961e-06	3.4897537774813106e-07	1.48977784374994e-06	4.0067749259555395e-06	2.46086882999148e-06	3.30458396951763e-06	3.79593656656977e-07	9.484270642527709e-06	3.33577823873384e-06	3.94541852650495e-07	2.2892612267569302e-06	1.36951254104812e-06	2.80838792869866e-06	2.37925321264324e-06
Crenarchaeota	6.36545790982276e-08	7.81091053143049e-08	2.70558296223179e-07	4.5812240405220795e-07	0.0	2.88163553219538e-07	2.1253954410634502e-07	0.0	4.08850697376386e-07	5.487317010739001e-07	1.59231643775221e-07	2.5572124492036803e-07	8.163693705294829e-07	1.02330125421052e-06	7.796011367363191e-07	1.23654736137344e-06	0.0	5.15151384870825e-07	1.29544083662845e-07	0.0	0.0	5.69204717984994e-07	0.0	1.67906556441751e-07	5.03829370397119e-07	5.037567920232311e-07	9.794686017900308e-07	0.0	9.13970878478697e-07	1.7575546962490003e-06	1.1172436060927e-07	7.77158597772891e-07	2.0996146301513602e-07	1.43644292877102e-06	3.56978827698267e-07	1.12183509925324e-06	5.80538545736563e-08	2.3602688590035e-07	3.42777768088256e-07	6.540695647872949e-07	4.841234082138129e-07
Cyanobacteria	1.1519240972173101e-05	2.04944382679463e-05	7.07088384997342e-05	1.00054155106989e-05	1.2676191048911e-05	2.64851801390693e-05	2.09203141569603e-05	1.5887593035735e-05	1.2250600558018901e-05	2.73571469425392e-05	1.09885617314841e-05	1.72624966018909e-05	7.27201101170559e-06	7.36877121941647e-06	4.67144520156095e-06	1.22112285638845e-05	1.7787120285421103e-05	2.03576240061667e-05	0.000174044727082301	1.04057322467242e-05	2.5447336110561603e-05	2.2379477687330603e-05	1.24876587238821e-05	3.89012609022091e-05	1.0749931254249199e-05	1.9560883516389802e-05	1.50579360658689e-05	3.90158271649127e-05	1.13549542519391e-05	1.82729154418151e-05	1.45359612278867e-05	1.72952508909053e-05	1.58762142819323e-05	3.87739763386697e-06	4.7226398447216205e-05	3.37882479994727e-05	1.93578679652315e-05	8.992107186819541e-06	9.26997688854018e-06	1.0397319527853699e-05	2.26423752745537e-05
Deferribacteres	3.38026439062471e-05	8.30428529649663e-05	0.000415473559755391	8.489932604950071e-05	3.5241201460846097e-05	3.70332511519555e-05	8.465773396024799e-05	0.00020484596540169098	3.085756583027e-05	5.1258953011653706e-05	3.07907087846454e-05	7.38884436401691e-05	9.8492677717797e-06	4.32843740790401e-05	4.03959145294772e-05	4.4919639078963504e-05	3.36487884266186e-05	4.1829963042531296e-05	6.14252279064813e-05	8.23428934161949e-06	3.63843833281903e-05	5.181524118414e-05	5.7584947351255e-05	0.000191550194308547	8.36113148312135e-05	2.48911056366956e-05	3.1399509292933003e-05	0.0014387040359111	0.00019371775193823	1.7322273954743803e-05	7.227315471558891e-05	9.547815396540041e-06	0.000314865854470435	7.035856034555169e-06	0.000180409877460308	6.6158699047602e-05	3.564074597273429e-05	7.50529361367011e-05	4.9354743375627793e-05	0.000217166703953551	5.72917950857494e-05
